datetime,stress_score,hrv_score
2018-10-19 18:27:49,0.23918736529383403,0.2993294572353446
2018-10-20 12:07:10,0.23918736529383403,0.5226785985940714
2018-10-24 15:11:40,0.31496060646899016,0.4811066318854101
2018-10-24 15:58:02,0.6890469279332114,0.17121514014012995
2018-10-24 19:05:02,0.31496060646899016,0.4061713842472036
2018-10-25 08:08:42,0.4396560469570639,0.6833758530764343
2018-10-25 11:37:43,0.5643514874451376,0.15613001232587143
2018-10-25 12:50:53,0.4396560469570639,0.22644216471959266
2018-10-25 16:28:16,0.6890469279332114,0.14195462587498753
2018-10-28 12:44:54,0.6890469279332114,0.30579719202271355
2018-10-28 14:17:26,0.4396560469570639,0.2878716189417899
2018-10-28 21:33:31,0.31496060646899016,0.441240611780201
2018-11-03 12:33:59,0.1866090792804672,0.5080636798174324
2018-11-03 13:26:12,0.3732181585609344,0.4824103025149705
2018-11-03 15:11:53,0.3732181585609344,0.49162048902009803
2018-11-03 18:07:39,0.3732181585609344,0.4215896128813766
2018-11-03 19:12:04,0.0,0.4331825961222716
2018-11-04 15:02:29,0.3732181585609344,0.26351245569904425
2018-11-04 17:41:22,0.7464363171218688,0.5254357591255021
2018-11-04 19:14:42,0.0,0.5358502397970641
2018-11-06 00:52:37,0.0,0.20863726072933447
2018-11-06 12:18:23,0.5598272378414015,0.42297908731310224
2018-11-06 13:10:27,0.5598272378414015,0.2716006122678609
2018-11-06 19:03:18,0.5598272378414015,0.11783606857197243
2018-11-07 00:31:09,0.0,0.08549330119184825
2018-11-07 14:28:02,0.3732181585609344,0.5807174456595264
2018-11-10 12:02:35,0.8730445137888911,0.540841047050302
2018-11-10 12:56:49,0.8730445137888911,0.4769653407833967
2018-11-10 20:39:34,0.454538106461534,0.1311442423114527
2018-11-10 21:54:39,0.24528490279785542,0.09134492607119465
2018-11-10 23:00:01,0.24528490279785542,0.0
2018-11-11 11:15:42,0.3499115046296947,0.26630070807501915
2018-11-14 15:22:13,0.3134492279925973,1.0
2018-11-14 20:54:32,0.17613907359111675,0.5919749522014609
2018-11-15 22:34:45,0.03882891918963621,0.043121548287336386
2018-11-17 18:55:16,0.5880695367955584,0.3659905447625944
2018-11-18 15:25:21,0.3134492279925973,0.6050675066468159
